date,blocks
2020-01-18,1432
2020-01-19,1425
2020-01-20,1423
2020-01-21,1427
2020-01-22,1429
2020-01-23,1425
2020-01-24,1434
2020-01-25,1430
2020-01-26,1433
2020-01-27,1429
2020-01-28,1434
2020-01-29,1434
2020-01-30,1432
2020-01-31,1431
2020-02-01,1439
2020-02-02,1435
2020-02-03,1433
2020-02-04,1432
2020-02-05,1426
2020-02-06,1429
2020-02-07,1431
2020-02-08,1426
2020-02-09,1419
2020-02-10,1429
2020-02-11,1431
2020-02-12,1430
2020-02-13,1422
2020-02-14,1427
2020-02-15,1419
2020-02-16,1417
2020-02-17,1431
2020-02-18,1435
2020-02-19,1428
2020-02-20,1416
2020-02-21,1419
2020-02-22,1415
2020-02-23,1413
2020-02-24,1403
2020-02-25,1417
2020-02-26,1420
2020-02-27,1413
2020-02-28,1417
2020-02-29,1419
2020-03-01,1412
2020-03-02,1421
2020-03-03,1413
2020-03-04,1394
2020-03-05,1358
2020-03-06,1382
2020-03-07,1391
2020-03-08,1386
2020-03-09,1388
2020-03-10,1398
2020-03-11,1392
2020-03-12,1403
2020-03-13,1403
2020-03-14,1409
2020-03-15,1409
2020-03-16,1406
2020-03-17,1411
2020-03-18,1414
2020-03-19,1412
2020-03-20,1425
2020-03-21,1416
2020-03-22,1421
2020-03-23,1416
2020-03-24,1421
2020-03-25,1413
2020-03-26,1411
2020-03-27,1425
2020-03-28,1412
2020-03-29,1423
2020-03-30,1422
2020-03-31,1425
2020-04-01,1427
2020-04-02,1428
2020-04-03,1425
2020-04-04,1426
2020-04-05,1424
2020-04-06,1430
2020-04-07,1418
2020-04-08,1420
2020-04-09,1426
2020-04-10,1428
2020-04-11,1426
2020-04-12,1436
2020-04-13,1437
2020-04-14,1436
2020-04-15,1439
2020-04-16,1434
2020-04-17,1436
2020-04-18,1438
2020-04-19,1434
2020-04-20,1432
2020-04-21,1436
2020-04-22,1439
2020-04-23,1436
2020-04-24,1437
2020-04-25,1438
2020-04-26,1437
2020-04-27,1437
2020-04-28,1438
2020-04-29,1434
2020-04-30,1428
2020-05-01,1433
2020-05-02,1431
2020-05-03,1436
2020-05-04,1431
2020-05-05,1435
2020-05-06,1434
2020-05-07,1434
2020-05-08,1438
2020-05-09,1435
2020-05-10,1432
2020-05-11,1435
2020-05-12,1436
2020-05-13,1434
2020-05-14,1436
2020-05-15,1431
2020-05-16,1424
2020-05-17,1437
2020-05-18,1435
2020-05-19,1438
2020-05-20,1437
2020-05-21,1435
2020-05-22,1438
2020-05-23,1439
2020-05-24,1436
2020-05-25,1434
2020-05-26,1404
2020-05-27,1439
2020-05-28,1439
2020-05-29,1439
2020-05-30,1437
2020-05-31,1437
2020-06-01,1435
2020-06-02,1436
2020-06-03,1436
2020-06-04,1430
2020-06-05,1437
2020-06-06,1434
2020-06-07,1421
2020-06-08,1435
2020-06-09,1428
2020-06-10,1429
2020-06-11,1438
2020-06-12,1432
2020-06-13,1438
2020-06-14,1432
2020-06-15,1432
2020-06-16,1431
2020-06-17,1436
2020-06-18,1432
2020-06-19,1434
2020-06-20,1428
2020-06-21,1430
2020-06-22,1438
2020-06-23,1434
2020-06-24,1434
2020-06-25,1433
2020-06-26,1432
2020-06-27,1431
2020-06-28,1433
2020-06-29,1429
2020-06-30,1429
2020-07-01,1436
2020-07-02,1430
2020-07-03,1434
2020-07-04,1436
2020-07-05,1435
2020-07-06,1432
2020-07-07,1437
2020-07-08,1433
2020-07-09,1436
2020-07-10,1424
2020-07-11,1432
2020-07-12,1438
2020-07-13,1436
2020-07-14,1434
2020-07-15,1437
2020-07-16,1432
2020-07-17,1433
2020-07-18,1435
2020-07-19,1437
2020-07-20,1430
2020-07-21,1437
2020-07-22,1435
2020-07-23,1429
2020-07-24,1437
2020-07-25,1433
2020-07-26,1432
2020-07-27,1434
2020-07-28,1433
2020-07-29,1434
2020-07-30,1436
2020-07-31,1425
2020-08-01,1433
2020-08-02,1431
2020-08-03,1430
2020-08-04,1431
2020-08-05,1424
2020-08-06,1429
2020-08-07,1435
2020-08-08,1427
2020-08-09,1428
2020-08-10,1434
2020-08-11,1433
2020-08-12,1426
2020-08-13,1432
2020-08-14,1431
2020-08-15,1430
2020-08-16,1436
2020-08-17,1431
2020-08-18,1428
2020-08-19,1424
2020-08-20,1426
2020-08-21,1422
2020-08-22,1427
2020-08-23,1416
2020-08-24,1428
2020-08-25,1427
2020-08-26,1423
2020-08-27,1425
2020-08-28,1420
2020-08-29,1418
2020-08-30,1423
2020-08-31,1422
2020-09-01,1419
2020-09-02,1425
2020-09-03,1428
2020-09-04,1423
2020-09-05,1425
2020-09-06,1421
2020-09-07,1418
2020-09-08,1424
2020-09-09,1420
2020-09-10,1427
2020-09-11,1430
2020-09-12,1414
2020-09-13,1419
2020-09-14,1420
